"m","Year","COG_hat","SE"
"Easting (km)",1982,588.112939956768,23.2962069032164
"Easting (km)",1983,611.685730031749,26.8751477727907
"Easting (km)",1984,620.433122218235,29.3813578213538
"Easting (km)",1985,523.704826604602,28.9168970796152
"Easting (km)",1986,562.602268906197,29.8492159321812
"Easting (km)",1987,481.630416214357,17.7308675828967
"Easting (km)",1988,472.781225200632,13.8893198851149
"Easting (km)",1989,448.340045661548,15.5406895138122
"Easting (km)",1990,444.644967733949,15.5461785634677
"Easting (km)",1991,519.319841571654,21.1195954418853
"Easting (km)",1992,501.712578696419,20.218505296518
"Easting (km)",1993,662.126508776404,23.811515382988
"Easting (km)",1994,667.716992258207,26.6382250996319
"Easting (km)",1995,672.895765912575,30.5324869429468
"Easting (km)",1996,624.182760478994,22.1327296292721
"Easting (km)",1997,502.038290003106,22.3962580776844
"Easting (km)",1998,554.42842253335,24.8054457877626
"Easting (km)",1999,450.112161401142,20.2097321083396
"Easting (km)",2000,586.396739416324,26.5161273582528
"Easting (km)",2001,549.735462146148,20.7777650397668
"Easting (km)",2002,532.839975187717,16.8630777615525
"Easting (km)",2003,561.348941741627,30.5581331014083
"Easting (km)",2004,570.743966857313,16.883581283387
"Easting (km)",2005,487.519736388259,20.4192176797846
"Easting (km)",2006,497.12361063598,18.3760010112963
"Easting (km)",2007,442.573399311755,29.3848421634187
"Easting (km)",2008,448.388575244199,28.4139398692644
"Easting (km)",2009,409.550402825831,20.7677978618651
"Easting (km)",2010,411.490741290284,16.3186924639514
"Easting (km)",2011,467.144646241614,27.3666572858283
"Easting (km)",2012,559.982085426753,20.3211349059455
"Easting (km)",2013,453.535897735489,15.2603379929658
"Easting (km)",2014,526.701065895817,18.2880281572152
"Easting (km)",2015,529.927508213431,18.1977368883723
"Easting (km)",2016,565.282025706755,24.2681281416193
"Easting (km)",2017,621.339366998942,21.0436048571013
"Easting (km)",2018,559.162219315331,31.5275442597596
"Easting (km)",2019,479.851888397034,17.0626756441618
"Easting (km)",2020,481.312304443073,93.2217845025044
"Easting (km)",2021,519.919239114676,22.5554259208866
"Easting (km)",2022,542.52090642179,16.3374108890961
"Easting (km)",2023,507.923595421386,22.1975404933588
"Easting (km)",2024,462.239148065392,17.5114499985555
"Northing (km)",1982,6392.90838225098,9.98548377490455
"Northing (km)",1983,6429.09080701141,18.887799519907
"Northing (km)",1984,6407.90221994772,17.6268349578815
"Northing (km)",1985,6463.72177950011,26.6943532146528
"Northing (km)",1986,6417.72285654184,17.8348121982891
"Northing (km)",1987,6475.72170958022,10.9438642486006
"Northing (km)",1988,6449.24880727358,9.66003699123101
"Northing (km)",1989,6501.47254857729,12.8285301276162
"Northing (km)",1990,6443.1920958634,13.0368449957305
"Northing (km)",1991,6408.96409528043,15.6798448898687
"Northing (km)",1992,6444.45664449786,13.2196589676173
"Northing (km)",1993,6373.7733416212,12.489705190753
"Northing (km)",1994,6380.11784582719,13.9181134191605
"Northing (km)",1995,6363.22065530168,17.3177899464717
"Northing (km)",1996,6424.67356496702,14.0177991056721
"Northing (km)",1997,6521.05440805881,18.2130654007598
"Northing (km)",1998,6560.8539222415,18.9615054579491
"Northing (km)",1999,6488.74372752921,16.3540723287667
"Northing (km)",2000,6432.34092794162,12.6869258084317
"Northing (km)",2001,6430.23784141085,12.2510575064657
"Northing (km)",2002,6490.5494943397,13.9633020285131
"Northing (km)",2003,6463.47836692147,21.1308781404208
"Northing (km)",2004,6432.28819643256,13.6656691650948
"Northing (km)",2005,6459.02078076754,13.4772250918634
"Northing (km)",2006,6449.53175241937,14.8017126236897
"Northing (km)",2007,6469.23369436962,24.1174120953229
"Northing (km)",2008,6490.06207211366,21.7274373034965
"Northing (km)",2009,6488.64321932982,16.9821048436147
"Northing (km)",2010,6501.81229782615,13.564138820636
"Northing (km)",2011,6473.51246998703,19.7275929848145
"Northing (km)",2012,6427.79174181241,19.7458193686597
"Northing (km)",2013,6495.4080385017,14.6301651751623
"Northing (km)",2014,6493.33141907594,18.3897489578548
"Northing (km)",2015,6526.17980048882,22.1237413994328
"Northing (km)",2016,6551.58929139985,31.4264894080266
"Northing (km)",2017,6549.99121838406,20.7099187816034
"Northing (km)",2018,6527.04579292928,18.9030881173582
"Northing (km)",2019,6597.552383659,14.3860350031881
"Northing (km)",2020,6530.01950267657,66.8124935436159
"Northing (km)",2021,6560.86350437048,18.50006677983
"Northing (km)",2022,6466.72616173659,14.605773265624
"Northing (km)",2023,6519.75049643548,15.9056456704095
"Northing (km)",2024,6457.38476708489,16.9529079260368
