"Year","Region","Estimate","error"
1982,"Both",121742.499595709,0.172679560470948
1983,"Both",201499.464402191,0.111040610852383
1984,"Both",159549.581601401,0.113299111255174
1985,"Both",171228.480836762,0.126525541722623
1986,"Both",135416.303246484,0.199506911844298
1987,"Both",114392.453522318,0.278098815721948
1988,"Both",99034.9489195761,0.206292955038241
1989,"Both",135416.896125816,0.138286063233962
1990,"Both",97284.4672645496,0.151560172983162
1991,"Both",141174.843138873,0.13833149387098
1992,"Both",147000.988201697,0.214138634304925
1993,"Both",172467.036696288,0.175032491575841
1994,"Both",155560.892863188,0.149148947492521
1995,"Both",71957.7878128164,0.276820145765181
1996,"Both",138369.599460162,0.168756329609553
1997,"Both",134834.178209188,0.147622554499229
1998,"Both",166732.309018208,0.238171764333785
1999,"Both",131449.767815255,0.112952603464663
2000,"Both",137802.95321114,0.205108404363622
2001,"Both",176402.35437692,0.159278421632472
2002,"Both",186169.116664869,0.09434904023663
2003,"Both",94204.0693184239,0.358105958217018
2004,"Both",156474.190057969,0.145648538389629
2005,"Both",142734.029328911,0.152696587822207
2006,"Both",156233.305946025,0.0922387483324476
2007,"Both",116104.47469279,0.131388341378159
2008,"Both",119632.975032229,0.107602851109828
2009,"Both",101519.251781742,0.0867377303825279
2010,"Both",116545.403048111,0.130615045002858
2011,"Both",146894.054074294,0.166875105970991
2012,"Both",143811.18870988,0.176860247473777
2013,"Both",167967.159882632,0.0837315343168214
2014,"Both",206557.409812799,0.104938333125172
2015,"Both",215228.521627006,0.224567012637703
2016,"Both",248771.547531283,0.213708557397275
2017,"Both",286773.93613226,0.120331153068742
2018,"Both",132788.562266382,0.33617028989235
2019,"Both",282794.346397233,0.0975592753938459
2021,"Both",236650.460861463,0.226561632387321
2022,"Both",171690.470231146,0.179410538159435
2023,"Both",189288.842659991,0.264013197199538
2024,"Both",126985.824126772,0.165308358889648
1982,"EBS",121036.771250429,0.172354612461714
1983,"EBS",198683.776722124,0.110099554552255
1984,"EBS",158971.283341643,0.113074003843326
1985,"EBS",169122.086190029,0.125818848403866
1986,"EBS",134392.530349367,0.199065457309722
1987,"EBS",112800.94757747,0.276970816857316
1988,"EBS",97335.6817887067,0.205085361113453
1989,"EBS",134002.503310648,0.137584409521042
1990,"EBS",96954.6042969778,0.151327818642715
1991,"EBS",140422.521432068,0.138067716293573
1992,"EBS",146452.639359174,0.21393378504243
1993,"EBS",171241.050684775,0.174677186827107
1994,"EBS",154680.795363104,0.148858699627671
1995,"EBS",71584.7243888365,0.276499675067493
1996,"EBS",136229.227616478,0.167966238876496
1997,"EBS",133156.491255785,0.147106587019424
1998,"EBS",159033.426769963,0.237004485606066
1999,"EBS",130457.547701774,0.112327769374732
2000,"EBS",136214.975059834,0.204308982066254
2001,"EBS",174762.099685058,0.158643676091523
2002,"EBS",182516.601763862,0.0929961612488269
2003,"EBS",90161.4033709083,0.355727646299773
2004,"EBS",148671.17100299,0.140806330693725
2005,"EBS",139205.327607479,0.151106459320597
2006,"EBS",155098.089585766,0.091772478918313
2007,"EBS",115114.286678624,0.130819817292111
2008,"EBS",118379.505008736,0.106727615659542
2009,"EBS",100529.257864065,0.0859979083880571
2010,"EBS",115637.840366487,0.130252131535414
2011,"EBS",143062.199957948,0.164774525934351
2012,"EBS",140009.229993171,0.174226789908211
2013,"EBS",163804.301066482,0.0804522460324086
2014,"EBS",196664.660311358,0.0984525439914028
2015,"EBS",192405.906744839,0.215069817770926
2016,"EBS",204574.165604844,0.200088887474093
2017,"EBS",222895.08186362,0.136714182241482
2018,"EBS",117045.78199921,0.326165599306467
2019,"EBS",215996.672118172,0.100493195100928
2021,"EBS",193174.445032457,0.234067220030556
2022,"EBS",149892.191152921,0.176878176220388
2023,"EBS",158803.689792678,0.263398816043316
2024,"EBS",119074.343054682,0.157367960356428
1982,"NBS",83240.6781031238,0.6078909740595
1983,"NBS",40461.3000064972,0.823539610326128
1984,"NBS",111526.463718256,0.254311656099775
1985,"NBS",53780.9683203194,0.694838009513146
1986,"NBS",89661.93022077,0.395638227062388
1987,"NBS",93510.6231548116,0.306862544155733
1988,"NBS",59571.7529646406,0.273480216628299
1989,"NBS",63567.2061926478,0.509187425748479
1990,"NBS",54292.5550669938,0.803670514030714
1991,"NBS",24850.0679690581,0.844984043502198
1992,"NBS",86768.0706631989,0.696096463741325
1993,"NBS",44184.0743285203,0.877274446798409
1994,"NBS",88560.1926425707,0.528233758256835
1995,"NBS",79665.5976134287,0.653013788428875
1996,"NBS",49374.4995252212,0.706583599053726
1997,"NBS",46369.863063675,0.980462678421176
1998,"NBS",18174.9589021896,0.81294687583324
1999,"NBS",102499.377937526,0.289757178008214
2000,"NBS",92397.835339087,0.355659895656354
2001,"NBS",86753.4436004089,0.352009218848951
2002,"NBS",38237.147269348,0.885897688078476
2003,"NBS",45073.9259939431,0.859238092721271
2004,"NBS",65060.2355112021,0.609105236630869
2005,"NBS",106118.328978481,0.272932083254003
2006,"NBS",82189.0879662643,0.589751193686695
2007,"NBS",91695.7051225867,0.519810388136222
2008,"NBS",82821.737990763,0.396759891575936
2009,"NBS",79520.0283296447,0.497581275247838
2010,"NBS",63470.4011547698,0.203486403871438
2011,"NBS",82991.0679045559,0.599519933393752
2012,"NBS",67366.9314363152,0.830560386386737
2013,"NBS",79173.4841637257,0.870731746244921
2014,"NBS",96119.8041589383,0.631059660236641
2015,"NBS",77275.2983140123,0.496160073848399
2016,"NBS",73913.7170349006,0.536019114808036
2017,"NBS",65844.8044347327,0.198573543073336
2018,"NBS",91925.062930923,0.318066796896199
2019,"NBS",85470.3093111937,0.112294039187267
2021,"NBS",64732.6107785748,0.186202818472531
2022,"NBS",60778.2473034596,0.195734411434804
2023,"NBS",75028.7783376867,0.248050030058525
2024,"NBS",90238.3502299586,0.382233327767592
