Year,NRock.sole,Other.flats,Other.spp,P.cod,Yellowfin.sole
1991,9711.38,6824.929999999997,755.9,10669.480000000005,NA
1992,9824.690000000004,1371.73,514.14,20651.510000000002,13100.83
1993,18582.76,2581.290000000002,390.30999999999995,31252.64000000001,15253.109999999997
1994,15784.299999999997,6770.29,89.74000000000001,26584.93999999998,33200.040000000015
1995,7766.3,5211.080000000004,26.81,25464.439999999966,27041.240000000013
1996,7698.64,5456.570000000001,802.5699999999999,22377.65999999999,22254.629999999994
1997,9123.250000000002,3480.3599999999997,14.53,33645.50999999997,24100.62999999999
1998,3960.2500000000005,3010.970000000001,941.06,10460.550000000012,15339.109999999999
1999,5207.26,4771.869999999997,1193.5399999999997,21106.069999999992,8701.48
2000,5480.980000000003,7067.640000000002,520.04,14480.040000000008,13425.34000000001
2001,4577.630000000002,4707.52,488.17999999999995,11540.750000000013,16502.740000000005
2002,9942.46,2220.2900000000013,51.500000000000014,15234.700000000013,14489.810000000005
2003,4924.536000000002,3672.6109999999994,235.58600000000007,15926.103000000006,11578.852999999996
2004,8975.937000000002,6396.130999999997,194.05699999999996,18650.093000000015,10383.687000000004
2005,7235.358000000003,5057.9389999999985,201.47600000000003,14109.562000000004,10312.793000000001
2006,6986.135,3826.5780000000004,142.73699999999997,15168.30199999998,5966.926
2007,3245.0269999999996,4353.301,276.087,20319.683000000005,4020.8500000000004
2008,4930.628,4813.130000000003,17.047,9533.707000000002,9827.916000000003
2009,6171.6399999999985,3432.3059999999987,13.399,7875.5210000000025,7036.651000000002
2010,6074.474979001301,3140.4057042302006,85.68929930120001,6575.796814991502,5179.098338957798
2011,6931.311483543902,2150.733412626299,300.0257997156,8977.731976266685,8673.650742785601
2012,6703.631243786497,1685.6538600879003,412.958249196,8377.145970667298,11197.937735578296
2013,7326.736946815602,3991.5336180922013,238.31028684929998,9801.349688829201,20171.60024226981
2014,11258.620867317397,6051.208659184097,202.40613609030007,11502.477446520297,24712.5091547987
2015,9386.648796483101,4266.7806053019,429.4293948635002,9062.086328384488,21281.5937980915
2016,11850.004470468997,2717.7814447145984,449.66996723359983,9070.415469870402,22306.396642610194
2017,5616.4154628314,3428.7563992021014,507.41160151590014,8319.031077596697,23414.44225679991
2018,5182.031171345201,3516.530443813101,952.1943371396003,8008.2141451552025,28235.212817685
2019,3176.1181698137,7968.362065478703,1362.5922697398998,7593.534660090902,23153.4947960832
2020,6401.1738436926025,2367.5841536131993,724.8351003918998,5511.487793981603,31651.42075114428
2021,2398.9794673142,5124.304244882803,1381.3818983770002,4315.902230521701,24844.53074722752
2022,2976.8501373603995,5249.791238463699,2623.5304171879993,6260.357807538601,26514.54135848728
2023,11047.640035924105,4478.006406724396,3059.1710403236007,7181.260574479404,22347.747812331698
2024,15035.173218987693,4190.394772602104,1463.7546014674997,5117.151888313788,13179.3278801076
