Year,Northwest_A,Northwest_B,Southeast_A,Southeast_B
1991,12191,529897,297202,356353
1992,101597,458143,454947,375612
1993,93013,139160,475143,619287
1994,11026,165751,586105,566470
1995,3631,88310,600499,571807
1996,1804,104135,549297,537545
1997,2363,302180,557106,262784
1998,1508,131007,476214,410353
1999,4139,202558,414030,368953
2000,19363,274170,439023,400154
2001,108013,317207,444565,517412
2002,36693,283747,561061,599272
2003,151465,406123,446152,487039
2004,50661,339883,556469,533538
2005,120320,560548,476970,325184
2006,18789,642034,585507,241700
2007,62504,563748,505306,222943
2008,44801,463079,358936,123762
2009,81575,370957,247944,110307
2010,199011,356061,124670,130443
2011,102252,348897,401755,346128
2012,104926,481418,380373,238497
2013,94763,480331,415014,280652
2014,50465,388712,469973,388267
2015,258574,366752,267095,429153
2016,81531,104078,458044,709028
2017,37730,143430,544028,633993
2018,3842,326753,598533,450160
2019,2649,304532,614949,487217
2020,85717,421102,560438,299978
2021,56779,295470,554774,469234
2022,9018,197610,487216,411573
2023,11335,408832,568447,306154
